Name,Island,Latitude,Longitude,Dataset,Notes
The Bight at Norman Island,Norman Island,18.3166,-64.6193,Both,
Benures Bay,Norman Island,18.3222,-64.6081,Both,
The Caves, Norman Island,Norman Island,18.3148,-64.6242,Explore Only,
Privateer Bay,Norman Island,18.3120,-64.6247,Both,
The Indians,The Indians,18.3322,-64.6297,Explore Only,
Road Town, Tortola,Tortola,18.4235,-64.6165,Both,
Nanny Cay, Tortola,Tortola,18.3960,-64.6360,Both,
Soper's Hole, Tortola,Tortola,18.3857,-64.7040,Both,
Cane Garden Bay, Tortola,Tortola,18.4276,-64.6596,Both,
Brandywine Bay, Tortola,Tortola,18.4136,-64.5809,Both,
Hodges Creek, Tortola,Tortola,18.4243,-64.5658,Both,
Trellis Bay, Tortola,Tortola,18.4469,-64.5309,Both,
Fat Hogs Bay, Tortola,Tortola,18.4165,-64.5395,Both,
Brewers Bay, Tortola,Tortola,18.4460,-64.6494,Both,
Sea Cow Bay, Tortola,Tortola,18.4065,-64.6145,Both,
West End, Tortola,Tortola,18.3895,-64.6985,Explore Only,
Beef Island Bluff, Tortola,Tortola,18.4307,-64.5275,Both,
Paraquita Bay, Tortola,Tortola,18.4193,-64.5723,Explore Only,
Buck Island, Tortola,Tortola,18.3720,-64.5340,Explore Only,
Frenchman's Cay, Tortola,Tortola,18.3960,-64.6910,Both,
Virgin Gorda Yacht Harbour,Virgin Gorda,18.4563,-64.4422,Both,
The Baths, Virgin Gorda,Virgin Gorda,18.4312,-64.4460,Explore Only,
Leverick Bay, Virgin Gorda,Virgin Gorda,18.4995,-64.3877,Both,
Gun Creek, Virgin Gorda,Virgin Gorda,18.4899,-64.3825,Both,
North Sound, Virgin Gorda,Virgin Gorda,18.5050,-64.3800,Both,
Savannah Bay, Virgin Gorda,Virgin Gorda,18.4660,-64.4214,Both,
Pond Bay, Virgin Gorda,Virgin Gorda,18.4694,-64.4156,Both,
Mountain Point, Virgin Gorda,Virgin Gorda,18.4997,-64.4114,Both,
Bitter End, Virgin Gorda,Virgin Gorda,18.4988,-64.3596,Both,
Biras Creek, Virgin Gorda,Virgin Gorda,18.4929,-64.3568,Both,
Saba Rock, Virgin Gorda,Virgin Gorda,18.5030,-64.3589,Both,
Oil Nut Bay, Virgin Gorda,Virgin Gorda,18.5000,-64.3452,Both,
Valley Trunk Bay, Virgin Gorda,Virgin Gorda,18.4390,-64.4444,Both,
Great Harbour, Jost Van Dyke,Jost Van Dyke,18.4418,-64.7515,Both,
White Bay, Jost Van Dyke,Jost Van Dyke,18.4415,-64.7603,Both,
Little Harbour, Jost Van Dyke,Jost Van Dyke,18.4393,-64.7299,Both,
Diamond Cay, Jost Van Dyke,Jost Van Dyke,18.4502,-64.7238,Both,
Sandy Cay,Jost Van Dyke,18.4353,-64.7120,Explore Only,
Sandy Spit,Jost Van Dyke,18.4504,-64.7098,Explore Only,
Great Harbour, Peter Island,Peter Island,18.3575,-64.5857,Both,
Deadman's Bay, Peter Island,Peter Island,18.3573,-64.5707,Both,
Little Harbour, Peter Island,Peter Island,18.3542,-64.6028,Both,
Sprat Bay, Peter Island,Peter Island,18.3576,-64.5767,Both,
Cooper Island,Cooper Island,18.3853,-64.5137,Both,
Cistern Point, Cooper Island,Cooper Island,18.3830,-64.5110,Explore Only,
Salt Island Anchorage,Salt Island,18.3703,-64.5342,Both,
Setting Point, Anegada,Anegada,18.7232,-64.3844,Both,
Cow Wreck Bay, Anegada,Anegada,18.7474,-64.4011,Explore Only,
Lee Bay, Great Camanoe,Great Camanoe,18.4712,-64.5339,Explore Only,
Marina Cay,Other Cays,18.4600,-64.5283,Both,
Scrub Island,Other Cays,18.4663,-64.5249,Both,
Monkey Point, Guana Island,Guana Island,18.4641,-64.5720,Both,
White Bay, Guana Island,Guana Island,18.4726,-64.5763,Both,
The Dogs,Other Cays,18.4839,-64.4658,Explore Only,
Mosquito Island,Other Cays,18.5086,-64.3905,Explore Only,
Prickly Pear Island,Other Cays,18.5047,-64.3718,Both,
Eustatia Island,Other Cays,18.5095,-64.3615,Explore Only,
Necker Island,Other Cays,18.5215,-64.3565,Explore Only,
Anegada Settlement,Anegada,18.7126,-64.3157,Explore Only,
Red Rock, Tortola,Tortola,18.4387,-64.5611,Explore Only,
